Account,Region,SecurityIDType,SecurityID,Description,Quantity,RequestID,QuantityReceived,Rate,LocateID
CIL,US,SEDOL,2203216,EMIS US Equity,126000,,0,N/A,N/A
CIL,US,SEDOL,BGSDJR2,EMLC US Equity,30000,,30000,GC,6136728473208308094-CPB10920
CIL,US,SEDOL,B8GFVY5,EMLP US Equity,39000,,39000,13.63,273030532303402984-CPB10920
CIL,US,SEDOL,2298386,EMN US Equity,15000,,15000,GC,6878819002441841075-CPB10920
CIL,US,SEDOL,B4RFDF1,EMO US Equity,114000,,80147,16.13,1944798044997597453-CPB10920
CIL,US,SEDOL,BSMDQY8,EMQQ US Equity,32000,,0,N/A,N/A
CIL,US,SEDOL,2313405,EMR US Equity,17000,,17000,GC,4310959687497041618-CPB10920
CIL,US,SEDOL,BGHQJ27,EMSH US Equity,14000,,0,N/A,N/A
CIL,US,SEDOL,BLBP550,ENBL US Equity,80000,,80000,0.85,2895028809748165221-CPB10920
CIL,US,SEDOL,BRBC4C3,ENFC US Equity,34000,,7925,GC,2821226935194138177-CPB10920
CIL,US,SEDOL,BFR9W31,ENFR US Equity,48000,,0,N/A,N/A
CIL,US,SEDOL,BYY9W15,ENGIY US Equity,63000,,63000,3.13,5803300528578867686-CPB10920
CIL,US,SEDOL,2314947,ENIA US Equity,112000,,112000,GC,7823523421862841417-CPB10920
CIL,US,SEDOL,B2QY2P8,ENLAY US Equity,136000,,66827,10.63,5231904277768784399-CPB10920
CIL,US,SEDOL,BJTNDQ9,ENLC US Equity,119000,,119000,GC,6601041224499350574-CPB10920
CIL,US,SEDOL,BD3NJQ5,ENOB US Equity,188000,,28337,43.00,974951303934099346-CPB10920
CIL,US,SEDOL,B78LW85,ENOR US Equity,43000,,4772,12.13,5735092550279384913-CPB10920
CIL,US,SEDOL,B65SQW4,ENPH US Equity,40000,,40000,GC,1720033311428295885-CPB10920
CIL,US,SEDOL,BYZFPN5,ENR US Equity,24000,,24000,GC,6804536983122588110-CPB10920
CIL,US,SEDOL,B020GQ5,ENS US Equity,16000,,16000,GC,451227532132528300-CPB10920
CIL,US,SEDOL,B1YWPP8,ENSG US Equity,22000,,22000,GC,1414751127797807740-CPB10920
CIL,US,SEDOL,B9L5200,ENTA US Equity,14000,,14000,GC,5070671489342653008-CPB10920
CIL,US,SEDOL,2599700,ENTG US Equity,22000,,22000,GC,8584447101556248242-CPB10920
CIL,US,SEDOL,B474ZK7,ENV US Equity,18000,,18000,GC,8256333442862921643-CPB10920
CIL,US,SEDOL,BRYQ4L1,ENVA US Equity,46000,,46000,GC,5595382788870981542-CPB10920
CIL,US,SEDOL,2979120,ENX US Equity,82000,,0,N/A,N/A
CIL,US,SEDOL,B652JP0,ENZL US Equity,20000,,0,N/A,N/A
